log_level,log_entry
ERROR,17/06/08 22:32:54 ERROR executor.CoarseGrainedExecutorBackend: Driver 10.10.34.11:39185 disassociated! Shutting down.
ERROR,17/06/06 22:29:45 ERROR executor.CoarseGrainedExecutorBackend: Driver 10.10.34.11:56823 disassociated! Shutting down.
ERROR,17/06/10 15:08:16 ERROR executor.CoarseGrainedExecutorBackend: Driver 10.10.34.11:45225 disassociated! Shutting down.
ERROR,17/03/14 22:39:25 ERROR executor.CoarseGrainedExecutorBackend: Driver 10.10.34.17:42128 disassociated! Shutting down.
ERROR,17/06/09 17:00:20 ERROR executor.CoarseGrainedExecutorBackend: Driver 10.10.34.11:57637 disassociated! Shutting down.
ERROR,17/06/06 22:29:45 ERROR executor.CoarseGrainedExecutorBackend: Driver 10.10.34.11:56823 disassociated! Shutting down.
ERROR,17/06/10 15:25:04 ERROR executor.CoarseGrainedExecutorBackend: Driver 10.10.34.11:37759 disassociated! Shutting down.
ERROR,17/07/27 20:32:20 ERROR executor.CoarseGrainedExecutorBackend: Driver 10.10.34.11:35336 disassociated! Shutting down.
ERROR,17/06/09 09:22:25 ERROR executor.CoarseGrainedExecutorBackend: Driver 10.10.34.11:48636 disassociated! Shutting down.
ERROR,17/03/14 21:29:02 ERROR executor.CoarseGrainedExecutorBackend: Driver 10.10.34.11:52710 disassociated! Shutting down.
